source	row_id	kind	k	credit_carried	credit_background	mean_cardinality	het_frac	mean_switches_per_window	frac_cells_gt1
sim	sim_ind0835		22	0.3408043384552002	0.3044824004173279	8.10666015625	0.96037109375	4.92	0.0
sim	sim_ind0839		10	0.36827537417411804	0.30448800325393677	7.9455859375	0.924375	5.11	0.0
sim	sim_ind0851		14	0.35412248969078064	0.30531448125839233	8.010859375	0.9323046875	5.09	0.0
sim	sim_ind0853		17	0.34284237027168274	0.30517578125	7.96455078125	0.94642578125	4.92	0.0
sim	sim_ind0856		21	0.3381101191043854	0.3059895932674408	8.01828125	0.9459765625	5.2	0.0
sim	sim_ind0858		8	0.3860180974006653	0.30838990211486816	8.0223828125	0.8794921875	5.0	0.0
sim	sim_ind0870		20	0.33934372663497925	0.30667969584465027	8.01359375	0.9563671875	4.79	0.0
sim	sim_ind0875		8	0.39019775390625	0.30943605303764343	8.07255859375	0.87123046875	4.79	0.0
sim	sim_ind0881		18	0.3427983820438385	0.31032225489616394	8.0323046875	0.9462890625	4.92	0.0
sim	sim_ind0885		24	0.3347574770450592		8.0341796875	0.96908203125	5.23	0.0
sim	sim_ind0888		8	0.3874267339706421	0.3094738721847534	8.05099609375	0.83421875	4.6	0.0
sim	sim_ind0898		9	0.38268226385116577	0.30884113907814026	8.0767578125	0.88615234375	4.94	0.0
sim	sim_ind0900		12	0.3612646162509918	0.3112662732601166	8.07037109375	0.9221484375	5.17	0.0
sim	sim_ind0901		18	0.34499022364616394	0.3053515553474426	8.04193359375	0.94099609375	5.0	0.0
sim	sim_ind0903		21	0.3378209173679352	0.3104882836341858	8.025703125	0.9478515625	4.82	0.0
sim	sim_ind0904		6	0.4123307168483734	0.30610135197639465	7.98380859375	0.8537890625	4.98	0.0
sim	sim_ind0905		17	0.34585362672805786	0.3075864911079407	8.0326171875	0.93859375	5.07	0.0
sim	sim_ind0909		15	0.3472174406051636	0.3069618046283722	7.97091796875	0.913515625	5.1	0.0
sim	sim_ind0910		15	0.3493698537349701	0.3046354055404663	7.982265625	0.9153125	4.79	0.0
sim	sim_ind0919		22	0.3372834026813507	0.2995019555091858	8.01923828125	0.938203125	4.86	0.0
sim	sim_ind0930		6	0.41498374938964844	0.3043121099472046	7.96751953125	0.80908203125	4.83	0.0
sim	sim_ind0931		15	0.35055989027023315	0.3079513907432556	8.0299609375	0.95802734375	4.76	0.0
sim	sim_ind0934		11	0.36730292439460754	0.3037649989128113	7.98927734375	0.892734375	5.21	0.0
sim	sim_ind0941		6	0.4160645008087158	0.30725154280662537	8.0269140625	0.81783203125	4.71	0.0
sim	sim_ind0943		3	0.530846357345581	0.30603885650634766	8.01935546875	0.65380859375	5.06	0.0
sim	sim_ind0949		3	0.5245247483253479	0.3100743889808655	8.08513671875	0.69009765625	5.18	0.0
sim	sim_ind0950		19	0.3424321711063385	0.3080976605415344	8.04669921875	0.95087890625	5.09	0.0
sim	sim_ind0951		19	0.34046974778175354	0.30555468797683716	7.99669921875	0.94880859375	5.08	0.0
sim	sim_ind0952		18	0.34278324246406555	0.30533531308174133	8.002109375	0.93349609375	5.1	0.0
sim	sim_ind0956		12	0.35908201336860657	0.3073307275772095	7.996953125	0.90525390625	5.03	0.0
sim	sim_ind0963		15	0.3523580729961395	0.31078994274139404	8.08248046875	0.9412109375	4.88	0.0
sim	sim_ind0968		16	0.3477123975753784	0.30866944789886475	8.03275390625	0.96111328125	4.98	0.0
sim	sim_ind0971		17	0.34564337134361267	0.30925223231315613	8.040703125	0.95984375	4.91	0.0
sim	sim_ind0972		15	0.3484804928302765	0.3069747984409332	7.98998046875	0.9228125	5.07	0.0
sim	sim_ind0975		10	0.37223243713378906	0.31001535058021545	8.0625390625	0.90654296875	4.93	0.0
sim	sim_ind0980		13	0.35865533351898193	0.3071662187576294	8.04134765625	0.9153125	5.07	0.0
sim	sim_ind0995		24	0.3345092833042145		8.02822265625	0.9705859375	5.32	0.0
real	IDX-INBRED__Oh43__0.1x	inbred	1	0.9878723621368408	0.36572521924972534	9.399552020611393			0.013967316441832639
real	IDX-INBRED__Il14H__0.1x	inbred	1	0.9882220029830933	0.3200703561306	8.349840066234828			0.012635968015678494
real	IDX-HYB__Oh43xIl14H__0.1x	hybrid	2	0.6723008751869202	0.33988821506500244	8.822141759535846			0.010159959980085785
