assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C050-T007	2	0	1200	0.4396792102090032	0.0	318464	0.9890285872186495	0.9929065765675241	0.5590584807073955
C009-T009	C050-T007	2	1	1201	0.4850124346864952	0.0	318464	0.9886046774517685	0.9926946216840836	0.5117438705787781
C009-T009	C050-T007	2	2	1202	0.5290707897909968	0.0	318464	0.9878667604501608	0.9923256631832797	0.46777657757234725
C009-T009	C050-T007	2	3	1203	0.5563171975482315	0.0	318464	0.9872387459807074	0.992011655948553	0.4408755777733119
C009-T009	C050-T007	2	4	1204	0.6107848924839229	0.0	318464	0.988045744573955	0.9924151552451769	0.38394292604501606
C009-T009	C050-T007	5	0	1500	0.530979953778135	0.0	318464	0.9891510500401929	0.9929678079782959	0.4645894041398714
C009-T009	C050-T007	5	1	1501	0.5106825261254019	0.0	318464	0.9859199155948553	0.991352240755627	0.4826982013665595
C009-T009	C050-T007	5	2	1502	0.5166266830787781	0.0	318464	0.9837721061093248	0.9902783360128617	0.4755859375
C009-T009	C050-T007	5	3	1503	0.5185860882234726	0.0	318464	0.9846890072347267	0.9907367865755627	0.4734067272909968
C009-T009	C050-T007	5	4	1504	0.45456315313504825	0.0	318464	0.9860800592845659	0.9914323126004824	0.5358564861334405
C009-T009	C050-T007	10	0	2000	0.5491358520900321	0.0	318464	0.9842619573954984	0.9905232616559485	0.44405647106109325
C009-T009	C050-T007	10	1	2001	0.4636599427250804	0.0	318464	0.9812192272909968	0.9890018966036977	0.5251645397909968
C009-T009	C050-T007	10	2	2002	0.49389883942926044	0.0	318464	0.9815238143086816	0.9891541901125402	0.4978176497186495
C009-T009	C050-T007	10	3	2003	0.5054543056672026	0.0	318464	0.9843121985530546	0.9905483822347267	0.4888621633842444
C009-T009	C050-T007	10	4	2004	0.509671422829582	0.0	318464	0.9830844302652733	0.989934498090836	0.482845784766881
C076-T198	C081-T199	1	0	1100	0.5555954549701047	0.0	342528	0.9943712630792227	0.9971856315396114	0.44467897514947685
C076-T198	C081-T199	1	1	1101	0.480398682735426	0.0	342528	0.9928502195440957	0.9964251097720478	0.5219748458520179
C076-T198	C081-T199	1	2	1102	0.5322718142750373	0.0	342528	0.9928969310538116	0.9964484655269058	0.4689456044469357
C076-T198	C081-T199	1	3	1103	0.4651648916292975	0.0	342528	0.9934049187219731	0.9967024593609866	0.5378509202167414
C076-T198	C081-T199	1	4	1104	0.46224834174140506	0.0	342528	0.9933815629671151	0.9966907814835575	0.5400084080717489
C076-T198	C081-T199	2	0	1200	0.44449212911061287	0.0	342528	0.9922079362855007	0.9961039681427504	0.5548568292227205
C076-T198	C081-T199	2	1	1201	0.48440711416292975	0.0	342528	0.9916444786995515	0.9958222393497758	0.5141623458520179
C076-T198	C081-T199	2	2	1202	0.5324119488041853	0.0	342528	0.9935888452914798	0.9967944226457399	0.47052503736920775
C076-T198	C081-T199	2	3	1203	0.5687856175261584	0.0	342528	0.991545216741405	0.9957726083707026	0.43106257006726456
C076-T198	C081-T199	2	4	1204	0.611514971038864	0.0	342528	0.9907832352391629	0.9953916176195815	0.39019875747384153
C076-T198	C081-T199	5	0	1500	0.5335797365470852	0.0	342528	0.992409379671151	0.9962046898355755	0.46733697683109116
C076-T198	C081-T199	5	1	1501	0.5102619347907325	0.0	342528	0.9913174981315396	0.9956587490657698	0.4879221552690583
C076-T198	C081-T199	5	2	1502	0.5082153867713004	0.0	342528	0.9900270926756353	0.9950135463378177	0.48931474215246634
C076-T198	C081-T199	5	3	1503	0.5203837350523169	0.0	342528	0.9912094777653214	0.9956047388826607	0.47877837724215244
C076-T198	C081-T199	5	4	1504	0.46385113041853515	0.0	342528	0.9905088051195815	0.9952544025597907	0.5349548066143498
C076-T198	C081-T199	10	0	2000	0.5498441003363229	0.0	342528	0.9900270926756353	0.9950135463378177	0.4487370375560538
C076-T198	C081-T199	10	1	2001	0.46968714966367714	0.0	342528	0.9879484304932735	0.9939742152466368	0.5269379437593423
C076-T198	C081-T199	10	2	2002	0.4984701980568012	0.0	342528	0.987720711883408	0.9938603559417041	0.49887308482810166
C076-T198	C081-T199	10	3	2003	0.505871052877429	0.0	342528	0.9872857109491778	0.993642855474589	0.48932642002989535
C076-T198	C081-T199	10	4	2004	0.5068052830717489	0.0	342528	0.9892154801943199	0.9946077400971599	0.49374357716741407
