n_founders	founder_set	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	1	62101	0.8831930456819379	0.0	972288	0.8850350924828857	0.9401278222090574	0.003565815889942075
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	2	62102	0.8283790399552396	0.0	972288	0.8322009528041074	0.9137241228936283	0.00703083859926277
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	3	62103	0.8026109547788309	0.0	972288	0.8074264004081095	0.9013373609465508	0.0073342466429699845
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	1	4	62104	0.7744361752896262	0.0	972288	0.7830570777382833	0.8891547566153238	0.009839677132701423
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	0	62200	0.8180734514876251	0.0	972288	0.8252266818062138	0.9102205313651922	0.008130307069510269
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	1	62201	0.7791971103212217	0.0	972288	0.7861220132306477	0.890680539099526	0.007617084649815692
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	2	62202	0.8005302955502897	0.0	972288	0.8096088813191153	0.9023607202804107	0.011798973143759873
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	3	62203	0.8936765649684044	0.0	972288	0.8971765567403897	0.9461862123156924	0.006378768430753028
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	4	62204	0.8769181559373355	0.0	972288	0.8809591396787783	0.9380780180358084	0.006119585966298051
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	0	62500	0.8279264991442865	0.0	972288	0.8343947472353871	0.9147860510466035	0.009493072011585045
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	1	62501	0.8385560656924698	0.0	972288	0.8457864336492891	0.9204788087480252	0.008314408899420749
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	2	62502	0.829149387835703	0.0	972288	0.8339514629410216	0.9143993343536072	0.007876267114270669
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	3	62503	0.8724750279752501	0.0	972288	0.8761231240126383	0.9356198986308584	0.007908150671406003
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	4	62504	0.7862680604923644	0.0	972288	0.7946976615982095	0.8949292802132701	0.012606347090573986
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	0	63000	0.8428840014481306	0.0	972288	0.8458296307266983	0.9204505249473407	0.00760885663507109
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	1	63001	0.7872718782912059	0.0	972288	0.7954566959583992	0.8952584008030542	0.011174672525013165
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	2	63002	0.8095615702343338	0.0	972288	0.8148254426671933	0.9049309463862559	0.009652489797261717
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	3	63003	0.746790045747762	0.0	972288	0.7572056839125856	0.8761184957543444	0.012502468404423381
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	4	63004	0.8115537783043707	0.0	972288	0.8168166222353871	0.9059424779489205	0.008733009149552396
