assemblyA	assemblyB	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
C009-T009	C011-T007	10	1	2001	0.4623691595873786	0.0	316416	0.48850879854368934	0.7426362762944984	0.029445413632686084
C009-T009	C011-T007	10	2	2002	0.49414694579288027	0.0	316416	0.5053189472087378	0.7510413506270227	0.01833345974919094
C009-T009	C011-T007	10	3	2003	0.5059289037216829	0.0	316416	0.5242528822815534	0.7605083181634305	0.022157539441747573
C009-T009	C011-T007	10	4	2004	0.5106789795711975	0.0	316416	0.5320369387135923	0.7644003463794499	0.027135163834951456
C009-T009	C027-T007	1	0	1100	0.5503433719758064	0.0	317440	0.5683026713709678	0.7825384324596775	0.025425277217741935
C009-T009	C027-T007	1	1	1101	0.4738218245967742	0.0	317440	0.4802765877016129	0.738525390625	0.015130418346774194
C009-T009	C027-T007	1	2	1102	0.5379189768145162	0.0	317440	0.5498267389112903	0.7733004662298387	0.01935483870967742
C009-T009	C027-T007	1	3	1103	0.46625819052419354	0.0	317440	0.47387537802419355	0.7353247857862903	0.017867943548387097
C009-T009	C027-T007	1	4	1104	0.45955456149193546	0.0	317440	0.4781880040322581	0.7374810987903225	0.02357295866935484
C009-T009	C027-T007	2	0	1200	0.44282069052419354	0.0	317440	0.4570123487903226	0.7268932711693549	0.02504725302419355
C009-T009	C027-T007	2	1	1201	0.48432774697580644	0.0	317440	0.49326171875	0.7450179561491935	0.01956275201612903
C009-T009	C027-T007	2	2	1202	0.5288432459677419	0.0	317440	0.5385490171370968	0.767661605342742	0.020901587701612902
C009-T009	C027-T007	2	3	1203	0.5599168346774194	0.0	317440	0.5679782006048387	0.7823761970766129	0.018961063508064518
C009-T009	C027-T007	2	4	1204	0.6113501764112903	0.0	317440	0.6170646421370968	0.8069194178427419	0.014320816532258064
C009-T009	C027-T007	5	0	1500	0.5298481602822581	0.0	317440	0.5430065524193548	0.769890372983871	0.02160093245967742
