n_founders	founder_set	n_breakpoints_per_chrom	seed_idx	seed	het_frac	unknown_frac	n_sites	pair_acc	hap_acc	homo_pred
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	2	62202	0.8005302955502897	0.0	972288	0.8183110354133755	0.9067632224196945	0.05275391653501843
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	3	62203	0.8936765649684044	0.0	972288	0.9092028287914692	0.9522044908504476	0.0632703478804634
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	2	4	62204	0.8769181559373355	0.0	972288	0.9197501151922064	0.9574889333201685	0.09005562137967352
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	0	62500	0.8279264991442865	0.0	972288	0.8760984399684044	0.9356234983873091	0.08255989994734071
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	1	62501	0.8385560656924698	0.0	972288	0.9032251760795156	0.94920537947604	0.08845115850447605
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	2	62502	0.829149387835703	0.0	972288	0.8915177395997894	0.943359375	0.09688075961032122
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	3	62503	0.8724750279752501	0.0	972288	0.8830624259478673	0.9391024058715113	0.048107145208004215
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	5	4	62504	0.7862680604923644	0.0	972288	0.8449142640863613	0.9200535232359136	0.09640044924960506
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	0	63000	0.8428840014481306	0.0	972288	0.8777142163638757	0.936447842614534	0.07311311051869405
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	1	63001	0.7872718782912059	0.0	972288	0.8466544892048447	0.9208763247103738	0.09500785775408109
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	2	63002	0.8095615702343338	0.0	972288	0.8665796554107424	0.9308394220642443	0.091455412388099
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	3	63003	0.746790045747762	0.0	972288	0.8250888625592417	0.9101145956753555	0.10832078561084782
6	C009-T009+C011-T007+C027-T007+C050-T007+C076-T198+C081-T199	10	4	63004	0.8115537783043707	0.0	972288	0.8726395882701422	0.933881730516061	0.09968342713270142
